NBHD_KEY,white_pct,black_pct,native_pct,asian_pct,other_pct,two_or_more_pct,hispanic_pct,of_color_pct
N71,0.845,0.0,0.0,0.0,0.0,0.036000000000000004,0.8963636363636364,0.155
N46,0.7879999999999999,0.075,0.022493384298735666,0.061599529550132315,0.09254630990885034,0.059000000000000004,0.08800000000000001,0.212
N63,0.7340000000000001,0.11599999999999999,0.24448586517552034,0.021,0.37744641192917056,0.078,0.147,0.266
N02,0.9159999999999999,0.025482541747993928,0.0,0.03621774018651052,0.04510952071134244,0.06408588158750814,0.05573628280199523,0.15647364996746904
N80,0.32,0.511,0.1247082360786929,0.115,0.11970656885628544,0.039,0.027000000000000003,0.68
N65,0.433,0.257,0.24448586517552034,0.024,0.21100000000000002,0.062,0.389,0.5670000000000001
N81,0.722,0.092,0.1247082360786929,0.149,0.11970656885628544,0.018000000000000002,0.071,0.278
N24,0.8140000000000001,0.0,0.0,0.0,0.0,0.031,0.0,0.18600000000000003
N66,0.636,0.17,0.24448586517552034,0.026000000000000002,0.079,0.055999999999999994,0.20600000000000002,0.364
N35,0.768,0.113,0.0385723922241982,0.03029373888514135,0.05427117188937266,0.052002207640890426,0.084,0.23199999999999998
N19,0.601,0.222,0.022000000000000002,0.11199999999999999,0.22905027932960895,0.038,0.035,0.39899999999999997
N04,0.843526350032531,0.025482541747993928,0.0,0.03621774018651052,0.04510952071134244,0.06408588158750814,0.05573628280199523,0.15647364996746904
N72,0.861,0.0,0.0,0.0,0.0,0.057999999999999996,0.044000000000000004,0.139
N03,0.889,0.025482541747993928,0.0,0.027999999999999997,0.04510952071134244,0.06408588158750814,0.05573628280199523,0.15647364996746904
N20,0.58,0.307,0.012,0.057,0.22905027932960895,0.025,0.034,0.42
N36,0.851,0.1022873612559024,0.0385723922241982,0.027999999999999997,0.05427117188937266,0.038,0.039,0.149
N11,0.326,0.46,0.03622346604710107,0.159,0.0729749709578625,0.044000000000000004,0.057999999999999996,0.674
N73,0.9159999999999999,0.023,0.0,0.024,0.0,0.028999999999999998,0.013999999999999999,0.084
N30,0.218,0.462,0.07624686042339433,0.185,0.066,0.037000000000000005,0.102,0.782
N25,0.816,0.10400000000000001,0.0,0.032,0.0,0.04,0.032,0.184
N50,0.546,0.151,0.047,0.061599529550132315,0.155,0.08,0.198,0.45399999999999996
N26,0.7959999999999999,0.11199999999999999,0.0,0.025,0.018000000000000002,0.045,0.073,0.204
N31,0.175,0.451,0.07624686042339433,0.205,0.08,0.085,0.132,0.825
N74,0.857,0.0,0.0,0.0,0.0,0.0,0.8963636363636364,1.0
N75,0.8270000000000001,0.048,0.0,0.034,0.043,0.044000000000000004,0.066,0.17300000000000001
N13,0.42700000000000005,0.28,0.03622346604710107,0.131,0.0729749709578625,0.14800000000000002,0.066,0.573
N76,0.904,0.0,0.0,0.024,0.0,0.034,0.8963636363636364,0.096
N27,0.645,0.158,0.0,0.027999999999999997,0.081,0.055,0.174,0.355
N21,0.7340000000000001,0.138,0.08659217877094973,0.057999999999999996,0.22905027932960895,0.054000000000000006,0.064,0.266
N06,0.843,0.035,0.0,0.035,0.04510952071134244,0.059000000000000004,0.05573628280199523,0.157
N07,0.7709999999999999,0.133,0.0,0.039,0.04510952071134244,0.037000000000000005,0.057,0.22899999999999998
N67,0.588,0.214,0.24448586517552034,0.027000000000000003,0.10400000000000001,0.059000000000000004,0.217,0.41200000000000003
N77,0.887,0.0,0.0,0.0,0.0,0.039,0.027000000000000003,0.113
N82,0.762,0.065,0.1247082360786929,0.098,0.11970656885628544,0.045,0.049,0.23800000000000002
N60,0.396,0.368,0.17840279203448983,0.040999999999999995,0.163,0.027000000000000003,0.317,0.604
N40,0.8079999999999999,0.09699999999999999,0.0385723922241982,0.015,0.05427117188937266,0.069,0.048445452872999326,0.192
N32,0.154,0.563,0.07624686042339433,0.155,0.049,0.057,0.08,0.846
N22,0.763,0.139,0.08659217877094973,0.039,0.22905027932960895,0.037000000000000005,0.042,0.237
N42,0.7909999999999999,0.078,0.0385723922241982,0.011000000000000001,0.05427117188937266,0.033,0.067,0.209
N61,0.263,0.531,0.17840279203448983,0.11024430301786081,0.14400000000000002,0.032,0.19699999999999998,0.737
N68,0.564,0.18,0.24448586517552034,0.013000000000000001,0.18600000000000003,0.038,0.327,0.436
N85,0.672,0.071,0.006999999999999999,0.19699999999999998,0.009000000000000001,0.043,0.025,0.32799999999999996
N28,0.527,0.426,0.006,0.017,0.0,0.019,0.016,0.473
N54,0.7290000000000001,0.16899999999999998,0.022493384298735666,0.061599529550132315,0.09254630990885034,0.039,0.099,0.271
N01,0.86,0.045,0.0,0.039,0.04510952071134244,0.038,0.040999999999999995,0.14
N69,0.778,0.073,0.24448586517552034,0.017,0.37744641192917056,0.062,0.11,0.222
N23,0.633,0.223,0.08659217877094973,0.04,0.22905027932960895,0.083,0.067,0.36700000000000005
N78,0.88,0.0,0.0,0.0,0.0,0.0,0.042,0.12
N62,0.252,0.514,0.06,0.11024430301786081,0.107,0.05,0.201,0.748
N16,0.6759999999999999,0.18899999999999997,0.03622346604710107,0.15682754250712855,0.0729749709578625,0.059000000000000004,0.12102650755095574,0.324
N57,0.86,0.14907380182299323,0.022493384298735666,0.061599529550132315,0.09254630990885034,0.037000000000000005,0.063,0.14
N17,0.439,0.395,0.03622346604710107,0.07200000000000001,0.0729749709578625,0.019,0.096,0.561
N45,0.7290000000000001,0.095,0.0385723922241982,0.017,0.07400000000000001,0.081,0.098,0.271
N70,0.608,0.235,0.24448586517552034,0.034,0.083,0.033,0.142,0.392
N34,0.276,0.494,0.021,0.125,0.09257265877287406,0.07,0.09300000000000001,0.7240000000000001
N79,0.7390000000000001,0.124,0.0,0.0,0.0,0.0,0.083,0.261
N58,0.8240000000000001,0.049,0.026000000000000002,0.036000000000000004,0.09254630990885034,0.035,0.068,0.17600000000000002
N47,0.7340488091737725,0.14907380182299323,0.022493384298735666,0.061599529550132315,0.09254630990885034,0.044031167303734194,0.11592178770949721,0.2659511908262276
N48,0.7340488091737725,0.14907380182299323,0.022493384298735666,0.061599529550132315,0.09254630990885034,0.044031167303734194,0.11592178770949721,0.2659511908262276
N64,0.3945324634979807,0.27958993476234856,0.24448586517552034,0.03168685927306617,0.37744641192917056,0.05467536502019261,0.2718235476856167,0.6054675365020192
N00,0.843526350032531,0.025482541747993928,0.0,0.03621774018651052,0.04510952071134244,0.06408588158750814,0.05573628280199523,0.15647364996746904
N09,0.40585067060935687,0.36857112683493504,0.03622346604710107,0.15682754250712855,0.0729749709578625,0.05459921850248178,0.12102650755095574,0.5941493293906429
N10,0.40585067060935687,0.36857112683493504,0.03622346604710107,0.15682754250712855,0.0729749709578625,0.05459921850248178,0.12102650755095574,0.5941493293906429
N49,0.7340488091737725,0.14907380182299323,0.022493384298735666,0.061599529550132315,0.09254630990885034,0.044031167303734194,0.11592178770949721,0.2659511908262276
N18,0.587709497206704,0.22681564245810057,0.08659217877094973,0.11955307262569832,0.22905027932960895,0.03519553072625711,0.0329608938547486,0.4122905027932961
N59,0.2358858550605625,0.29768014781359065,0.17840279203448983,0.11024430301786081,0.217614452884418,0.022582631903100003,0.33894477520016425,0.7641141449394375
N37,0.8112467038695039,0.1022873612559024,0.0385723922241982,0.03029373888514135,0.05427117188937266,0.052002207640890426,0.048445452872999326,0.1887532961304961
N38,0.8112467038695039,0.1022873612559024,0.0385723922241982,0.03029373888514135,0.05427117188937266,0.052002207640890426,0.048445452872999326,0.1887532961304961
N29,0.34463580911374236,0.397918909221385,0.07624686042339433,0.09257265877287406,0.09257265877287406,0.08073196986006471,0.12378902045209902,0.6553641908862576
N12,0.40585067060935687,0.36857112683493504,0.03622346604710107,0.15682754250712855,0.0729749709578625,0.05459921850248178,0.12102650755095574,0.5941493293906429
N39,0.8112467038695039,0.1022873612559024,0.0385723922241982,0.03029373888514135,0.05427117188937266,0.052002207640890426,0.048445452872999326,0.1887532961304961
N05,0.843526350032531,0.025482541747993928,0.0,0.03621774018651052,0.04510952071134244,0.06408588158750814,0.05573628280199523,0.15647364996746904
N51,0.7340488091737725,0.14907380182299323,0.022493384298735666,0.061599529550132315,0.09254630990885034,0.044031167303734194,0.11592178770949721,0.2659511908262276
N52,0.7340488091737725,0.14907380182299323,0.022493384298735666,0.061599529550132315,0.09254630990885034,0.044031167303734194,0.11592178770949721,0.2659511908262276
N14,0.40585067060935687,0.36857112683493504,0.03622346604710107,0.15682754250712855,0.0729749709578625,0.05459921850248178,0.12102650755095574,0.5941493293906429
N83,0.7555851950650204,0.05235078359453151,0.1247082360786929,0.13237745915305102,0.11970656885628544,0.04368122707569198,0.03634544848282768,0.24441480493497833
N41,0.8112467038695039,0.1022873612559024,0.0385723922241982,0.03029373888514135,0.05427117188937266,0.052002207640890426,0.048445452872999326,0.1887532961304961
N84,0.7555851950650204,0.05235078359453151,0.1247082360786929,0.13237745915305102,0.11970656885628544,0.04368122707569198,0.03634544848282768,0.24441480493497833
N53,0.7340488091737725,0.14907380182299323,0.022493384298735666,0.061599529550132315,0.09254630990885034,0.044031167303734194,0.11592178770949721,0.2659511908262276
N43,0.8112467038695039,0.1022873612559024,0.0385723922241982,0.03029373888514135,0.05427117188937266,0.052002207640890426,0.048445452872999326,0.1887532961304961
N44,0.8112467038695039,0.1022873612559024,0.0385723922241982,0.03029373888514135,0.05427117188937266,0.052002207640890426,0.048445452872999326,0.1887532961304961
N15,0.40585067060935687,0.36857112683493504,0.03622346604710107,0.15682754250712855,0.0729749709578625,0.05459921850248178,0.12102650755095574,0.5941493293906429
N55,0.7340488091737725,0.14907380182299323,0.022493384298735666,0.061599529550132315,0.09254630990885034,0.044031167303734194,0.11592178770949721,0.2659511908262276
N56,0.7340488091737725,0.14907380182299323,0.022493384298735666,0.061599529550132315,0.09254630990885034,0.044031167303734194,0.11592178770949721,0.2659511908262276
N33,0.34463580911374236,0.397918909221385,0.07624686042339433,0.09257265877287406,0.09257265877287406,0.08073196986006471,0.12378902045209902,0.6553641908862576
N86,0.7555851950650204,0.05235078359453151,0.1247082360786929,0.13237745915305102,0.11970656885628544,0.04368122707569198,0.03634544848282768,0.24441480493497833
N08,0.843526350032531,0.025482541747993928,0.0,0.03621774018651052,0.04510952071134244,0.06408588158750814,0.05573628280199523,0.15647364996746904
