subject_race_,type_of_resistance_,police_incidents_police_incidents_count,,
Asian,Assaulted Officer                                                              ,72,,
Asian,Assaulted Police Horse                                                         ,1,,
Asian,Commission of Crime,98,,
Asian,Fled in Vehicle,20,,
Asian,Fled on Foot,70,,
Asian,Other                                                                          ,7,,
Asian,Tensed,68,,
Asian,Verbal Non-Compliance,52,,
Black,Assaulted Officer                                                              ,1742,,
Black,Assaulted Police Horse                                                         ,18,,
Black,Assaulting Police K9,11,,
Black,Commission of Crime,3922,,
Black,Fled in Vehicle,568,,
Black,Fled on Foot,3200,,
Black,Other                                                                          ,358,,
Black,Tensed,4590,,
Black,Verbal Non-Compliance,1976,,
Native American,Assaulted Officer                                                              ,173,,
Native American,Commission of Crime,294,,
Native American,Fled in Vehicle,45,,
Native American,Fled on Foot,241,,
Native American,Other                                                                          ,53,,
Native American,Tensed,433,,
Native American,Verbal Non-Compliance,155,,
Other / Mixed Race,Assaulted Officer,85,,
Other / Mixed Race,Assaulted Police Horse                                                         ,6,,
Other / Mixed Race,Assaulting Police K9,1,,
Other / Mixed Race,Commission of Crime,296,,
Other / Mixed Race,Fled in Vehicle,35,,
Other / Mixed Race,Fled on Foot,112,,
Other / Mixed Race,Tensed,324,,
Other / Mixed Race,Verbal Non-Compliance,158,,
Pacific Islander,Tensed,2,,
Pacific Islander,Verbal Non-Compliance,1,,
White,Assaulted Officer                                                              ,1022,,
White,Assaulted Police Horse                                                         ,25,,
White,Commission of Crime,1259,,
White,Fled in Vehicle,137,,
White,Fled on Foot,801,,
White,Other                                                                          ,206,,
White,Tensed,2328,,
White,Verbal Non-Compliance,682,,