Crime,Severity (Hi-Lo),Descr,Short
MURDR,1,Murder (general),Murder_Assault
CSCR,2,Crim Sex Cond-rape,Murder_Assault
ASLT1,3,Aslt-great Bodily Hm,Murder_Assault
ASLT2,4,Asslt W/dngrs Weapon,Murder_Assault
ASLT3,5,Aslt-sgnfcnt Bdly Hm,Murder_Assault
ASLT4,6,Aslt-police/emerg P,Murder_Assault
DASLT1,7,1st Deg Domes Asslt,Domestic_Assault
DASLT2,8,2nd Deg Domes Aslt,Domestic_Assault
DASLT3,9,3rd Deg Domes Aslt,Domestic_Assault
DASTR,10,Domestic Assault/Strangulation,Domestic_Assault
DISARM,11,Disarm a Police Officer,Disarm_Police
ROBPAG,12,Robbery Per Agg,Robbery
ROBPER,13,Robbery Of Person,Robbery
ROBBIZ,14,Robbery Of Business,Robbery
BURGD,15,Burglary Of Dwelling,Burglary
BURGB,16,Burglary Of Business,Burglary
ARSON,17,Arson,Arson
AUTOTH,18,Motor Vehicle Theft,Theft
BIKETF,19,Bike Theft,Theft
TFPER,20,Theft From Person,Theft
THFTSW,21,Theft By Swindle,Theft
TBLDG,22,Theft From Building,Theft
TFMV,23,Theft From Motr Vehc,Theft
TMVP,24,Theft-motr Veh Parts,Theft
THEFT,25,Other Theft,Theft
SHOPLF,26,Shoplifting,Theft
PETIT   ,27,OBS - PETTY THEFT             ,Theft
ONLTHT,28,On-line Theft,Theft
MVTHFT,29,Other Vehicle Theft,Theft
NOPAY,30,Gas Station Driv-off,Theft
LOOT,31,Looting,Looting
COMPUT,32,Theft By Computer,Theft
COINOP,33,Theft/coinop Device,Theft
POCKET,34,Pocket-picking,Theft
SCRAP,35,Scrapping-Recycling Theft,Theft
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,